plate,mjd,fiber,orig_label,corrected_label(-1:followup_-2:bal_-3:subdla)
4005,55325,342,1,1
4759,55649,758,1,1
4955,55750,646,1,1
4573,55587,232,1,1
4191,55444,904,1,1
4219,55480,784,0,1
3935,55326,724,1,1
4028,55621,530,1,1
3757,55508,158,1,1
4497,55564,566,1,1
3955,55678,574,1,1
3639,55205,143,1,1
4310,55508,117,1,1
4072,55362,198,1,1
4699,55684,353,1,1
4095,55497,159,1,1
4992,55723,912,1,1
3833,55290,952,1,1
3865,55272,116,1,1
4212,55447,782,1,1
4863,55688,662,1,1
4492,55565,817,1,1
3923,55325,596,1,1
4709,55720,160,1,1
4091,55498,294,1,1
4746,55632,200,1,1
4854,55685,708,1,1
3835,55570,748,1,1
4707,55653,712,1,1
3664,55245,618,1,1
4237,55478,840,1,1
3865,55272,294,1,1
3837,55572,410,1,1
4217,55478,226,1,1
4510,55559,936,1,1
4203,55447,879,1,1
4751,55646,302,1,1
4754,55649,212,1,1
4706,55705,414,1,1
4861,55710,462,1,1
4560,55575,122,1,1
3872,55382,451,1,1
3929,55335,514,1,1
4637,55616,673,1,1
4265,55505,188,1,1
4992,55723,47,1,1
4239,55458,706,1,1
4562,55570,644,1,1
3856,55269,682,1,1
4737,55630,622,1,1
4601,55589,372,1,1
4312,55511,346,1,1
3761,55272,332,1,1
4565,55591,374,1,1
4195,55452,798,1,1
3871,55307,502,1,1
3667,55566,884,1,1
4363,55537,20,1,1
4029,55618,428,1,1
4490,55629,426,1,1
3686,55268,628,1,1
4707,55653,871,1,1
3815,55537,86,1,1
3688,55273,266,1,1
4440,55539,712,1,1
3856,55269,420,1,1
4488,55571,490,1,1
4260,55478,1000,0,1
3969,55307,428,1,1
3793,55214,982,1,1
4486,55588,316,1,1
4180,55679,842,1,1
4627,55626,944,1,1
4896,55712,333,1,1
4964,55749,772,1,1
4460,55533,102,1,1
4481,55630,340,1,1
4729,55626,906,1,1
4854,55685,284,1,1
4630,55623,476,1,1
4192,55469,924,1,1
3853,55268,20,1,1
3662,55182,988,1,1
3948,55331,502,1,1
4653,55622,298,1,1
4197,55479,204,1,1
4082,55367,84,0,1
3802,55514,86,1,1
4277,55506,152,1,1
4750,55630,494,1,1
3879,55244,108,1,1
4193,55476,436,1,1
4385,55752,774,1,1
4510,55559,954,1,1
4367,55566,822,1,1
4569,55631,866,1,1
3811,55538,456,1,1
4779,55656,560,1,1
4749,55633,408,1,1
3949,55650,320,1,1
4293,55509,124,1,1
4764,55646,296,1,1
3815,55537,569,1,1
4208,55476,498,1,1
3753,55486,860,0,1
4007,55327,522,1,1
4730,55630,954,1,1
3815,55537,904,1,1
4706,55705,744,0,1
4011,55635,834,1,1
5001,55719,874,1,1
3805,55269,126,1,1
4511,55602,304,1,1
4646,55622,958,0,1
4350,55556,370,1,1
4233,55449,270,1,1
3780,55240,944,1,1
4876,55679,184,1,1
4493,55585,8,1,1
3675,55183,454,1,1
4507,55564,600,1,1
3784,55269,110,1,1
3609,55201,300,1,1
4382,55742,584,1,1
3951,55681,538,1,1
4998,55722,354,1,1
4190,55686,496,1,1
4496,55544,724,1,1
3773,55240,472,1,1
4694,55649,447,1,1
4184,55450,560,1,1
5009,55707,982,1,1
3941,55321,384,1,1
4177,55688,178,1,1
4401,55510,240,1,1
4802,55652,632,1,1
4366,55536,798,1,1
4507,55564,223,1,1
4502,55569,734,1,1
4085,55452,894,1,1
4706,55705,768,1,1
3768,55564,358,1,1
3964,55648,848,1,1
3855,55268,52,1,1
3974,55320,558,1,1
4993,55738,14,1,1
4237,55478,474,1,1
4570,55623,76,1,1
4726,55712,270,1,1
3831,55543,726,1,1
4087,55449,140,1,1
4242,55476,630,1,1
4352,55533,334,1,1
4214,55451,518,1,1
3809,55533,240,1,1
3755,55504,596,1,1
4569,55631,222,1,1
4318,55508,218,1,1
4645,55623,529,1,1
3926,55327,546,1,1
4230,55483,628,1,1
3976,55302,478,1,1
3957,55664,714,1,1
4653,55622,198,1,1
4271,55507,192,1,1
4693,55632,916,1,1
4893,55709,640,1,1
4691,55651,138,1,1
4566,55630,694,1,1
3761,55272,434,1,1
4568,55600,564,1,1
4800,55674,224,1,1
3810,55531,850,1,1
4227,55481,275,1,1
3776,55209,688,1,1
5029,55750,284,1,1
4558,55569,318,1,1
4900,55739,332,1,1
4236,55479,264,1,1
3987,55590,152,1,1
4856,55712,196,0,1
4734,55646,858,1,1
4400,55509,402,1,1
4532,55559,728,1,1
3691,55274,794,1,1
4569,55631,42,1,1
4807,55687,760,1,1
4508,55600,256,1,1
4189,55679,762,1,1
4203,55447,334,1,1
4647,55621,994,1,1
4575,55590,804,1,1
4730,55630,824,1,1
4840,55690,860,1,1
3875,55364,500,0,1
3859,55246,480,1,1
4187,55693,17,1,1
4266,55486,12,0,1
4875,55677,540,1,1
4863,55688,876,1,1
4403,55536,192,1,1
4553,55584,716,1,1
3778,55213,534,1,1
4509,55574,919,1,1
4237,55478,660,1,1
4293,55509,556,1,1
4066,55444,722,1,1
3833,55290,30,1,1
4036,55330,678,0,1
4738,55650,274,1,1
4273,55506,714,1,1
4489,55545,29,1,1
4808,55705,274,1,1
3978,55330,602,1,1
3817,55277,542,1,1
4309,55528,442,1,1
4569,55631,95,1,1
4348,55559,612,1,1
4367,55566,346,1,1
4059,55360,334,1,1
4067,55361,473,1,1
4057,55357,925,1,1
4052,55600,716,1,1
4489,55545,92,1,1
4278,55505,474,1,1
4453,55535,732,1,1
4765,55674,322,1,1
4858,55686,710,1,1
4615,55618,982,1,1
3838,55588,456,1,1
3845,55323,134,1,1
4876,55679,262,1,1
3964,55648,260,1,1
4772,55654,838,1,1
3856,55269,203,1,1
4568,55600,186,1,1
4455,55539,362,1,1
4456,55537,428,1,1
4389,55539,154,1,1
4403,55536,346,1,1
3800,55486,138,1,1
3865,55272,476,1,1
4859,55684,632,1,1
4321,55504,480,1,1
4960,55747,888,1,1
4567,55589,582,1,1
4282,55507,342,1,1
4493,55585,824,1,1
3958,55329,752,1,1
4645,55623,196,1,1
3955,55678,582,1,1
4020,55332,120,1,1
4760,55656,96,1,1
4601,55589,766,1,1
4799,55656,886,1,1
3874,55280,440,1,1
3679,55209,526,1,1
3980,55331,734,1,1
4047,55352,628,1,1
4860,55691,88,1,1
3922,55333,322,1,1
4491,55570,950,1,1
3869,55273,188,1,1
4699,55684,104,1,1
3698,55501,838,1,1
4497,55564,622,0,1
3859,55246,302,1,1
3840,55574,148,1,1
4450,55540,960,1,1
3808,55513,915,1,1
4879,55706,794,1,1
4831,55679,484,1,1
4071,55660,694,0,0
4223,55451,522,0,0
4043,55630,266,0,0
4037,55631,354,0,0
4650,55648,370,0,0
3761,55272,838,0,0
4703,55617,350,0,0
4648,55673,208,0,0
4729,55626,496,0,0
3957,55664,680,0,0
4176,55682,858,0,0
3819,55540,806,0,0
4046,55605,662,0,0
4006,55328,376,0,0
5041,55749,584,0,0
4833,55679,768,0,0
3933,55335,742,0,0
3852,55243,4,0,0
4180,55679,316,0,0
3826,55563,290,0,0
4877,55707,385,0,0
4637,55616,730,0,0
4496,55544,474,0,0
4784,55677,774,0,0
4473,55589,362,0,0
3760,55268,967,0,0
4183,55447,747,0,0
4488,55571,786,0,0
4056,55357,86,0,0
4783,55652,800,0,0
3785,55273,159,0,0
4615,55618,996,0,0
4575,55590,404,0,0
4858,55686,596,0,0
3789,55269,696,0,0
4448,55538,404,0,0
4025,55350,972,0,0
4704,55681,216,0,0
4454,55536,148,0,0
4715,55653,260,0,0
4613,55591,434,0,0
4282,55507,802,0,0
4040,55605,246,0,0
3861,55274,126,0,0
4488,55571,252,0,0
4365,55539,476,0,0
4024,55646,280,0,0
4286,55499,922,0,0
4353,55532,517,0,0
4318,55508,894,0,0
5015,55707,838,0,0
3976,55302,896,0,0
4785,55659,482,0,0
3938,55328,370,0,0
4267,55484,410,0,0
4620,55652,462,0,0
5009,55707,648,0,0
4781,55653,250,0,0
3868,55360,200,0,0
3792,55212,996,0,0
3672,55484,258,0,0
4202,55445,258,0,0
4722,55735,755,0,0
4881,55733,680,0,0
3833,55290,806,0,0
3829,55300,736,0,0
4043,55630,868,0,0
3777,55210,408,0,0
3786,55563,952,0,0
4206,55471,164,0,0
4236,55479,906,0,0
4710,55707,948,0,0
4746,55632,296,0,0
4630,55623,276,0,0
3790,55208,983,0,0
4307,55531,835,0,0
5036,55751,92,0,0
3692,55186,214,0,0
3793,55214,995,0,0
4202,55445,318,0,0
3765,55508,971,0,0
4241,55450,194,0,0
3688,55273,282,0,0
4548,55565,98,0,0
4852,55689,424,0,0
4305,55509,856,0,0
4702,55618,222,0,0
4276,55505,634,0,0
4892,55738,26,0,0
3693,55208,348,0,0
4503,55563,938,0,0
4492,55565,369,0,0
4183,55447,712,0,0
4875,55677,476,0,0
4635,55615,380,0,0
4765,55674,446,0,0
4746,55632,436,0,0
4478,55600,792,0,0
4497,55564,966,0,0
3965,55302,410,0,0
3929,55335,929,0,0
4067,55361,910,0,0
5014,55717,18,0,0
3945,55648,462,0,0
4955,55750,442,0,0
3678,55208,82,0,0
4785,55659,354,0,0
4442,55532,115,0,0
3985,55320,610,0,0
4503,55563,346,0,0
3922,55333,250,0,0
4839,55703,452,0,0
3859,55246,467,0,0
4996,55720,714,0,0
4016,55632,103,0,0
5068,55749,846,0,0
3865,55272,342,0,0
4729,55626,420,0,0
3869,55273,712,0,0
4085,55452,834,0,0
4473,55589,740,0,0
4489,55545,802,0,0
3680,55210,122,0,0
3681,55243,360,0,0
4365,55539,558,0,0
4293,55509,648,0,0
4551,55569,766,0,0
4628,55646,564,0,0
3758,55506,562,0,0
3825,55533,744,0,0
4302,55531,806,0,0
4370,55534,608,0,0
4312,55511,600,0,0
4564,55570,932,0,0
4501,55590,172,0,0
4441,55532,942,0,0
4352,55533,100,0,0
4277,55506,352,0,0
4025,55350,613,0,0
4746,55632,784,0,0
3789,55269,786,0,0
4242,55476,388,0,0
4786,55651,398,0,0
4877,55707,420,0,0
4750,55630,585,0,0
4851,55680,398,0,0
4720,55691,838,0,0
3937,55352,134,0,0
5003,55715,864,0,0
4063,55364,200,0,0
4231,55444,154,0,0
4800,55674,290,0,0
4859,55684,988,0,0
4265,55505,308,0,0
4785,55659,794,0,0
4056,55357,722,0,0
4079,55363,142,0,0
4833,55679,68,0,0
4719,55736,296,0,0
4989,55743,616,0,0
3790,55208,224,0,0
3764,55514,664,0,0
3760,55268,188,0,0
3855,55268,214,0,0
4451,55537,560,0,0
4631,55617,574,0,0
4992,55723,274,0,0
4864,55680,360,0,0
4900,55739,876,0,0
4553,55584,330,0,0
4654,55659,418,0,0
4006,55328,967,0,0
3868,55360,694,0,0
4633,55620,700,0,0
3870,55273,590,0,0
3659,55181,260,0,0
4658,55592,212,0,0
4360,55539,934,0,0
3948,55331,828,0,0
4504,55571,258,0,0
4865,55713,950,0,0
4033,55332,916,0,0
4618,55600,628,0,0
4050,55599,498,0,0
4691,55651,422,0,0
4342,55531,676,0,0
5141,55746,896,0,0
4368,55559,606,0,0
4658,55592,554,0,0
4303,55508,688,1,0
4401,55510,860,0,0
4311,55506,608,0,0
4716,55738,438,0,0
3979,55597,918,0,0
3854,55247,226,0,0
4701,55709,620,0,0
4053,55591,392,0,0
3851,55302,600,0,0
4532,55559,410,0,0
3979,55597,782,0,0
4532,55559,808,0,0
4460,55533,614,0,0
4050,55599,730,0,0
4559,55597,323,0,0
4506,55568,858,0,0
4499,55572,672,0,0
4989,55743,485,0,0
4864,55680,642,0,0
4832,55680,436,0,0
4045,55622,210,0,0
4570,55623,967,0,0
4716,55738,226,0,0
4783,55652,236,0,0
4858,55686,222,0,0
3663,55176,564,0,0
4649,55621,26,0,0
4233,55449,230,0,0
4309,55528,696,0,0
4321,55504,400,0,0
4777,55707,30,0,0
4473,55589,518,0,0
4030,55634,970,0,0
4564,55570,842,0,0
4998,55722,283,0,0
4877,55707,338,0,0
4279,55508,642,0,0
4502,55569,606,0,0
4602,55644,234,0,0
4562,55570,788,0,0
4628,55646,545,0,0
4004,55321,784,0,0
3831,55543,884,0,0
4309,55528,570,0,0
4953,55749,684,0,0
4858,55686,272,0,0
3776,55209,894,0,0
3971,55322,546,0,0
4803,55734,971,0,0
3805,55269,730,0,0
4647,55621,672,0,0
4659,55587,906,0,0
4634,55626,152,0,0
4342,55531,681,0,0
4025,55350,638,0,0
4648,55673,672,0,0
4833,55679,570,0,0
4621,55649,424,0,0
4731,55656,568,0,0
3969,55307,752,0,0
4612,55590,864,0,0
4612,55590,877,0,0
4022,55352,212,0,0
4087,55449,464,0,0
3871,55307,452,0,0
3656,55241,316,0,0
4045,55622,372,0,0
4065,55368,50,0,0
4492,55565,494,0,0
4837,55707,994,0,0
4217,55478,848,0,0
3985,55320,208,0,0
4885,55735,762,0,0
4490,55629,758,0,0
4228,55484,496,0,0
4351,55538,844,0,0
4891,55736,124,0,0
3948,55331,14,0,0
4617,55617,258,0,0
4491,55570,528,0,0
3755,55504,413,0,0
4274,55508,474,0,0
3957,55664,354,0,0
4267,55484,299,0,0
4355,55533,718,0,0
4727,55693,777,0,0
3875,55364,660,0,0
4303,55508,714,0,0
3975,55321,862,0,0
3874,55280,167,0,0
3928,55331,342,0,0
4708,55704,228,0,0
3778,55213,670,0,0
4965,55721,576,0,0
3856,55269,584,0,0
4091,55498,836,0,0
4019,55363,106,0,0
3956,55656,160,0,0
3828,55539,822,0,0
4268,55483,986,0,0
3987,55590,952,0,0
4619,55599,664,0,0
5004,55711,423,0,0
3939,55633,206,0,0
3931,55350,784,0,0
4462,55600,626,0,0
4447,55542,338,0,0
4655,55620,46,0,0
4037,55631,260,0,0
3783,55246,702,0,0
5068,55749,58,0,0
4033,55332,882,0,0
3807,55511,766,0,0
3778,55213,994,0,0
4858,55686,544,0,0
4858,55686,664,0,0
4219,55480,416,0,0
4971,55747,420,0,0
3977,55335,296,0,0
4499,55572,620,0,0
4637,55616,882,0,0
4454,55536,828,0,0
4441,55532,218,0,0
4650,55648,286,0,0
3804,55267,58,0,0
4572,55622,280,0,0
4559,55597,665,0,0
3861,55274,654,0,0
4852,55689,712,0,0
4056,55357,970,0,0
4503,55563,869,0,0
4892,55738,934,0,0
4622,55629,890,0,0
4834,55685,624,0,0
3873,55277,341,0,0
4279,55508,94,0,0
3866,55623,284,0,0
4759,55649,424,0,0
4223,55451,203,0,0
4309,55528,440,0,0
4511,55602,924,0,0
4071,55660,692,0,0
4482,55617,578,0,0
4262,55482,819,0,0
4994,55739,648,0,0
4494,55569,801,0,0
5009,55707,272,0,0
4772,55654,916,0,0
3807,55511,682,0,0
4858,55686,68,0,0
4690,55653,292,0,0
4450,55540,180,0,0
3840,55574,521,0,0
3682,55244,716,0,0
4719,55736,31,0,0
4026,55325,562,0,0
3978,55330,446,0,0
4400,55509,730,0,0
4342,55531,368,0,0
3856,55269,58,0,0
3765,55508,140,0,0
4367,55566,630,0,0
4093,55475,995,0,0
4891,55736,152,0,0
3973,55323,582,0,0
3947,55332,382,0,0
4447,55542,624,0,0
4698,55623,470,0,0
4304,55506,184,0,0
3693,55208,366,0,0
4441,55532,236,0,0
3986,55329,64,0,0
4857,55711,218,0,0
4184,55450,586,0,0
3858,55273,354,0,0
3949,55650,94,0,0
3687,55269,238,0,0
4568,55600,928,0,0
3944,55660,973,0,0
4051,55337,776,0,0
4235,55451,639,0,0
4735,55651,666,0,0
3809,55533,694,0,0
4655,55620,392,0,0
3863,55280,102,0,0
4302,55531,902,0,0
4754,55649,216,0,0
4802,55652,339,0,0
3838,55588,858,0,0
4747,55652,776,0,0
3872,55382,973,0,0
4635,55615,284,0,0
4227,55481,526,0,0
4058,55358,584,0,0
3745,55234,229,0,0
4182,55446,148,0,0
3663,55176,418,0,0
4205,55454,152,0,0
4576,55592,932,0,0
4999,55721,98,0,0
5066,55749,671,0,0
4012,55327,832,0,0
4693,55632,578,0,0
4370,55534,878,0,0
4402,55514,188,0,0
3832,55289,657,0,0
3768,55564,570,0,0
4006,55328,910,0,0
3776,55209,708,0,0
3969,55307,214,0,0
4501,55590,796,0,0
4878,55710,20,0,0
4091,55498,792,0,0
4775,55708,434,0,0
4366,55536,127,0,0
3693,55208,656,0,0
4213,55449,912,0,0
4031,55604,14,0,0
4228,55484,130,0,0
4706,55705,260,0,0
3780,55240,234,0,0
4091,55498,808,0,0
4700,55709,430,0,0
4040,55605,154,0,0
4008,55356,90,0,0
4719,55736,436,0,0
4471,55617,900,0,0
4220,55447,968,0,0
4201,55443,218,0,0
3787,55565,458,0,0
4879,55706,728,0,0
4774,55659,930,0,0
4576,55592,802,0,0
3866,55623,407,0,0
3829,55300,892,0,0
4724,55742,202,0,0
4802,55652,861,0,0
4273,55506,449,0,0
4401,55510,552,0,0
4353,55532,270,0,0
4061,55362,545,0,0
4353,55532,234,0,0
3662,55182,450,0,0
4498,55615,302,0,0
3869,55273,570,0,0
4764,55646,552,0,0
4992,55723,606,0,0
4344,55557,448,0,0
4857,55711,300,0,0
4271,55507,314,0,0
4506,55568,100,0,0
3820,55542,672,0,0
4228,55484,332,0,0
4570,55623,563,0,0
4735,55651,878,0,0
4482,55617,842,0,0
4772,55654,72,0,0
4179,55684,113,0,0
4400,55509,246,0,0
4024,55646,848,0,0
4186,55691,90,0,0
4653,55622,8,0,0
4700,55709,598,0,0
4549,55556,604,0,0
4190,55686,456,0,0
3808,55513,758,0,0
4953,55749,40,0,0
4292,55532,594,0,0
3664,55245,648,0,0
4655,55620,838,0,0
4300,55528,130,0,0
4834,55685,774,0,0
4088,55451,977,0,0
4567,55589,745,0,0
4038,55363,754,0,0
3874,55280,516,0,0
4565,55591,362,0,0
3861,55274,172,0,0
4690,55653,504,0,0
4892,55738,568,0,0
4344,55557,104,0,0
4895,55708,874,0,0
4653,55622,224,0,0
5011,55739,12,0,0
4893,55709,434,0,0
3807,55511,268,0,0
4451,55537,304,0,0
3772,55277,488,0,0
4353,55532,464,0,0
3664,55245,768,0,0
4705,55705,478,0,0
4228,55484,907,0,0
4615,55618,9,0,0
4777,55707,324,0,0
4630,55623,994,0,0
4262,55482,160,0,0
3875,55364,496,0,0
3665,55247,54,0,0
4341,55538,600,0,0
3944,55660,704,0,0
4732,55648,792,0,0
4743,55645,848,0,0
3986,55329,124,0,0
3776,55209,188,1,0
3778,55213,838,0,0
4185,55469,762,0,0
4459,55533,440,0,0
3694,55209,990,0,0
4286,55499,418,0,0
4182,55446,722,0,0
4178,55653,704,0,0
4704,55681,694,0,0
4053,55591,942,0,0
4602,55644,172,0,0
5036,55751,274,0,0
4204,55470,132,0,0
5013,55723,196,0,0
4702,55618,924,0,0
3785,55273,194,0,0
4808,55705,926,0,0
4628,55646,930,0,0
4500,55543,682,0,0
4801,55653,261,0,0
4209,55478,586,0,0
4654,55659,194,0,0
4064,55366,892,0,0
4773,55648,824,0,0
4896,55712,242,0,0
4761,55633,479,0,0
3850,55575,78,0,0
4611,55603,348,0,0
3935,55326,784,0,0
4557,55588,20,0,0
4993,55738,782,0,0
3801,55509,248,0,0
5005,55751,818,0,0
3876,55245,600,0,0
3690,55182,744,0,0
4069,55365,834,0,0
4549,55556,577,0,0
4479,55592,450,0,0
4803,55734,456,0,0
3757,55508,142,0,0
4631,55617,668,0,0
3808,55513,634,0,0
3756,55505,136,0,0
4224,55481,9,0,0
3851,55302,820,0,0
4574,55621,712,0,0
3773,55240,214,0,0
5013,55723,90,0,0
4574,55621,646,0,0
4023,55328,324,0,0
3809,55533,64,0,0
4180,55679,39,0,0
4836,55689,678,0,0
4190,55686,130,0,0
3771,55544,444,0,0
4037,55631,484,0,0
3696,55277,100,0,0
4630,55623,882,0,0
4700,55709,460,0,0
3867,55652,734,0,0
4241,55450,628,0,0
3828,55539,48,0,0
4080,55471,480,0,0
4360,55539,886,0,0
3978,55330,290,0,0
4658,55592,196,0,0
4657,55591,788,0,0
4233,55449,554,0,0
4276,55505,148,0,0
4085,55452,881,0,0
3686,55268,542,0,0
3934,55336,269,0,0
4833,55679,166,0,0
4734,55646,44,0,0
4998,55722,474,0,0
3941,55321,502,0,0
4351,55538,278,0,0
4749,55633,844,0,0
4749,55633,282,0,0
4275,55501,320,0,0
3786,55563,554,0,0
4691,55651,60,0,0
4732,55648,886,0,0
4617,55617,34,0,0
4176,55682,334,0,0
3683,55178,636,0,0
3695,55212,202,0,0
3833,55290,826,0,0
4567,55589,422,0,0
4860,55691,882,0,0
4510,55559,931,0,0
4805,55715,596,0,0
3981,55603,722,0,0
4794,55647,708,0,0
4480,55591,868,0,0
4783,55652,802,0,0
4624,55654,348,0,0
4482,55617,186,0,0
3846,55327,61,0,0
4257,55480,228,0,0
4616,55617,322,0,0
4030,55634,602,0,0
4702,55618,14,0,0
4489,55545,286,0,0
4500,55543,160,0,0
4708,55704,935,0,0
3955,55678,734,0,0
3663,55176,608,0,0
3767,55214,866,0,0
4037,55631,858,0,0
4736,55631,462,0,0
4265,55505,186,0,0
4315,55503,370,0,0
4805,55715,168,0,0
4782,55654,680,0,0
3819,55540,328,0,0
4070,55681,596,0,0
3965,55302,608,0,0
3850,55575,579,0,0
3745,55234,636,0,0
4088,55451,142,0,0
5001,55719,456,1,0
4445,55622,242,0,0
4648,55673,28,0,0
4753,55674,693,0,0
4836,55689,282,0,0
4213,55449,346,0,0
4960,55747,847,0,0
4694,55649,78,0,0
4612,55590,324,0,0
4530,55564,94,0,0
4234,55478,531,0,0
4801,55653,670,0,0
3962,55660,800,1,0
3845,55323,204,0,0
4739,55644,412,0,0
3809,55533,588,0,0
4318,55508,975,0,0
3946,55659,274,0,0
4632,55644,324,0,0
4274,55508,458,0,0
4196,55478,890,0,0
4504,55571,110,0,0
4694,55649,758,0,0
4854,55685,59,0,0
4632,55644,198,0,0
3923,55325,662,0,0
4615,55618,236,0,0
4242,55476,900,0,0
4634,55626,700,0,0
4532,55559,754,0,0
4040,55605,930,0,0
4654,55659,458,0,0
4622,55629,144,0,0
4706,55705,991,0,0
3835,55570,446,0,0
5000,55715,524,0,0
4625,55632,104,0,0
3696,55277,340,0,0
4706,55705,316,0,0
3751,55234,848,0,0
4709,55720,200,0,0
4548,55565,322,0,0
4862,55685,414,0,0
3945,55648,554,0,0
4215,55471,929,0,0
4280,55503,108,0,0
3861,55274,552,0,0
4732,55648,750,0,0
4891,55736,278,0,0
4629,55630,268,0,0
4447,55542,848,0,0
3967,55704,130,0,0
4038,55363,894,0,0
4961,55719,318,0,0
3664,55245,382,0,0
3871,55307,576,0,0
4063,55364,510,0,0
4209,55478,695,0,0
4756,55631,218,0,0
4698,55623,278,0,0
3859,55246,636,0,0
4304,55506,660,0,0
4041,55361,954,0,0
4834,55685,7,0,0
4661,55614,480,0,0
4224,55481,753,0,0
4654,55659,146,0,0
4697,55660,338,0,0
4806,55688,595,0,0
4759,55649,608,0,0
4966,55712,814,0,0
4013,55629,124,0,0
3832,55289,464,0,0
3874,55280,532,0,0
4531,55563,258,0,0
4499,55572,816,0,0
4864,55680,628,0,0
4019,55363,38,0,0
4530,55564,360,0,0
4740,55651,718,0,0
4833,55679,456,0,0
3769,55240,16,0,0
3930,55332,691,0,0
4231,55444,192,0,0
3661,55614,898,0,0
3691,55274,792,0,0
3970,55591,670,0,0
3680,55210,472,0,0
3694,55209,288,0,0
4203,55447,936,0,0
4068,55445,615,0,0
4575,55590,852,0,0
3943,55336,550,0,0
4226,55475,734,0,0
4718,55750,932,0,0
4259,55501,370,0,0
3765,55508,142,0,0
4851,55680,306,0,0
4755,55660,618,0,0
3792,55212,874,0,0
4699,55684,940,0,0
4558,55569,896,0,0
3776,55209,856,0,0
4260,55478,629,0,0
3981,55603,612,0,0
4206,55471,632,0,0
4747,55652,140,0,0
3777,55210,342,0,0
4631,55617,774,0,0
4551,55569,918,0,0
4479,55592,235,0,0
4890,55741,790,0,0
4372,55541,428,0,0
3946,55659,688,0,0
4449,55544,88,0,0
4874,55673,354,0,0
4742,55660,842,0,0
3655,55240,114,0,0
3969,55307,562,0,0
4500,55543,164,0,0
4707,55653,522,0,0
4044,55359,158,0,0
4833,55679,124,0,0
4222,55444,162,0,0
3983,55603,260,0,0
4286,55499,636,0,0
4226,55475,34,0,0
4617,55617,770,0,0
4615,55618,346,0,0
4565,55591,390,0,0
4306,55584,518,0,0
4755,55660,436,0,0
4422,55533,194,0,0
4065,55368,178,0,0
4631,55617,62,0,0
4965,55721,250,0,0
4263,55484,672,0,0
3752,55236,558,0,0
4026,55325,246,0,0
4876,55679,231,0,0
3772,55277,642,0,0
4717,55742,940,0,0
3942,55338,252,0,0
4617,55617,586,0,0
4653,55622,692,0,0
4261,55503,92,0,0
3765,55508,872,0,0
4620,55652,466,0,0
4901,55711,782,0,0
3934,55336,960,0,0
3936,55302,700,0,0
3817,55277,152,0,0
4754,55649,198,0,0
4626,55647,879,0,0
4264,55506,612,0,0
4296,55499,512,0,0
4602,55644,106,0,0
4232,55447,562,0,0
4623,55621,43,0,0
3763,55508,196,0,0
4572,55622,376,0,0
4278,55505,646,0,0
4269,55502,624,0,0
3767,55214,810,0,0
4567,55589,572,0,0
4750,55630,824,0,0
4302,55531,242,0,0
4019,55363,480,0,0
4506,55568,664,0,0
4387,55534,562,0,0
3983,55603,212,0,0
3775,55207,946,0,0
4029,55618,42,0,0
4013,55629,536,0,0
3928,55331,648,1,0
4833,55679,158,0,0
4032,55333,342,0,0
4093,55475,968,0,0
4093,55475,820,0,0
3828,55539,838,0,0
4878,55710,860,0,0
3983,55603,470,0,0
4212,55447,622,0,0
